Frame_Index,leg_left_ankle_roll_joint,leg_left_ankle_pitch_joint,leg_left_knee_pitch_joint,leg_left_hip_pitch_joint,leg_left_hip_yaw_joint,leg_left_hip_roll_joint,leg_right_ankle_roll_joint,leg_right_ankle_pitch_joint,leg_right_knee_pitch_joint,leg_right_hip_pitch_joint,leg_right_hip_yaw_joint,leg_right_hip_roll_joint
99,0.04399,-0.49477,1.04995,-0.45618,-0.03404,-0.02787,0.14187,-0.7459,0.82547,0.01495,-0.10964,-0.09022
100,0.05291,-0.50983,1.05059,-0.44197,-0.04094,-0.03353,0.15283,-0.78734,0.89464,-0.01357,-0.11809,-0.09726
101,0.06041,-0.52389,1.05931,-0.43684,-0.04674,-0.03829,0.16532,-0.86297,1.06395,-0.10824,-0.1277,-0.10529
102,0.06644,-0.53727,1.0725,-0.43684,-0.0514,-0.04212,0.17793,-0.92977,1.25006,-0.22862,-0.1374,-0.11342
103,0.07089,-0.54919,1.08571,-0.43828,-0.05484,-0.04495,0.18842,-0.95919,1.40244,-0.35253,-0.14546,-0.1202
104,0.07365,-0.55821,1.09368,-0.43733,-0.05697,-0.0467,0.19378,-0.93143,1.48354,-0.46191,-0.14958,-0.12367
105,0.07482,-0.56581,1.09913,-0.43521,-0.05788,-0.04744,0.19528,-0.86774,1.51966,-0.56186,-0.15073,-0.12464
106,0.07456,-0.57412,1.10618,-0.43395,-0.05768,-0.04728,0.19522,-0.79174,1.54277,-0.66097,-0.15069,-0.12461
107,0.0729,-0.58333,1.11398,-0.43248,-0.05639,-0.04622,0.19361,-0.70768,1.55053,-0.75263,-0.14945,-0.12356
108,0.06977,-0.5935,1.12165,-0.42987,-0.05398,-0.04424,0.19035,-0.62146,1.54367,-0.83168,-0.14695,-0.12145
109,0.06523,-0.60272,1.12344,-0.42229,-0.05046,-0.04135,0.18375,-0.52948,1.49664,-0.87602,-0.14187,-0.11718
110,0.05917,-0.60823,1.11191,-0.40507,-0.04578,-0.0375,0.17191,-0.426,1.37442,-0.85622,-0.13277,-0.10954
111,0.05163,-0.61259,1.09254,-0.38112,-0.03995,-0.03272,0.15777,-0.32733,1.21417,-0.7935,-0.12189,-0.10043
112,0.04259,-0.61891,1.07202,-0.35409,-0.03296,-0.02699,0.14354,-0.25084,1.06261,-0.71736,-0.11093,-0.0913
113,0.03207,-0.63026,1.05795,-0.32846,-0.02482,-0.02032,0.13064,-0.22407,0.98609,-0.66674,-0.10098,-0.08303
114,0.02023,-0.64648,1.05174,-0.30589,-0.01565,-0.01281,0.11874,-0.24928,1.0007,-0.6554,-0.0918,-0.07543
115,0.00724,-0.66247,1.0438,-0.28186,-0.0056,-0.00458,0.10576,-0.27632,1.01683,-0.64378,-0.08178,-0.06714
116,-0.00665,-0.67774,1.03348,-0.25628,0.00514,0.00421,0.09187,-0.30317,1.03102,-0.63044,-0.07106,-0.0583
117,-0.02117,-0.69197,1.02056,-0.22923,0.01638,0.01341,0.07734,-0.32954,1.04297,-0.61542,-0.05983,-0.04905
118,-0.03604,-0.7049,1.00489,-0.20084,0.02789,0.02283,0.06243,-0.35516,1.05249,-0.59881,-0.0483,-0.03958
119,-0.051,-0.7163,0.98642,-0.17128,0.03946,0.03232,0.04743,-0.3798,1.0595,-0.58077,-0.0367,-0.03006
120,-0.06576,-0.72603,0.9652,-0.14075,0.05087,0.04169,0.03261,-0.40326,1.06401,-0.56153,-0.02524,-0.02066
121,-0.08004,-0.73399,0.94139,-0.1095,0.06191,0.05076,0.01826,-0.4254,1.06615,-0.54135,-0.01413,-0.01157
122,-0.09355,-0.74015,0.91526,-0.07778,0.07235,0.05936,0.00466,-0.44612,1.06613,-0.52054,-0.00361,-0.00296
123,-0.10738,-0.74489,0.88423,-0.0427,0.08303,0.06817,-0.00926,-0.4672,1.06396,-0.4973,0.00716,0.00586
124,-0.11895,-0.74751,0.85362,-0.01011,0.09196,0.07555,-0.02093,-0.48528,1.06032,-0.47567,0.01619,0.01325
125,-0.12927,-0.75428,0.83553,0.01412,0.09992,0.08215,-0.03109,-0.50188,1.05642,-0.45529,0.02405,0.01969
126,-0.14063,-0.81066,0.94351,-0.03824,0.10868,0.08942,-0.03974,-0.5169,1.0602,-0.44421,0.03074,0.02517
127,-0.15294,-0.8873,1.12391,-0.1429,0.11817,0.09732,-0.04691,-0.53103,1.07095,-0.44097,0.03629,0.02972
128,-0.16476,-0.94576,1.30422,-0.26568,0.12726,0.10492,-0.05258,-0.54429,1.08485,-0.44176,0.04068,0.03331
129,-0.1738,-0.96044,1.43973,-0.38727,0.13422,0.11075,-0.05664,-0.55568,1.09727,-0.4429,0.04381,0.03589
130,-0.17759,-0.91719,1.50016,-0.49128,0.13713,0.11319,-0.05901,-0.56396,1.1036,-0.44101,0.04565,0.03739
131,-0.17875,-0.84948,1.53291,-0.59184,0.13802,0.11394,-0.05987,-0.57178,1.10958,-0.43919,0.04631,0.03794
132,-0.17834,-0.77042,1.55163,-0.68959,0.13771,0.11368,-0.05929,-0.58033,1.11684,-0.43789,0.04587,0.03757
133,-0.17635,-0.68484,1.55483,-0.77819,0.13618,0.11239,-0.0573,-0.58977,1.12451,-0.43606,0.04433,0.03631
134,-0.17273,-0.59887,1.5437,-0.85271,0.1334,0.11006,-0.05389,-0.60013,1.13161,-0.43271,0.04169,0.03414
135,-0.16472,-0.50179,1.47231,-0.87774,0.12723,0.10489,-0.04899,-0.60805,1.12898,-0.42204,0.0379,0.03104
136,-0.15252,-0.39811,1.33498,-0.84313,0.11784,0.09705,-0.04262,-0.61282,1.11423,-0.40238,0.03297,0.027
137,-0.13867,-0.30363,1.17162,-0.77325,0.10716,0.08817,-0.03466,-0.61723,1.09346,-0.37704,0.02681,0.02195
138,-0.12516,-0.23798,1.03352,-0.69992,0.09675,0.07952,-0.02526,-0.62447,1.07346,-0.34967,0.01954,0.016
139,-0.11297,-0.23122,0.99148,-0.66392,0.08735,0.07174,-0.0144,-0.63748,1.06194,-0.32503,0.01114,0.00911
140,-0.10081,-0.25789,1.00795,-0.65308,0.07795,0.06398,-0.00223,-0.65344,1.05472,-0.3018,0.00172,0.0014
141,-0.08756,-0.28458,1.02269,-0.64052,0.06772,0.05554,0.01102,-0.66888,1.04529,-0.27696,-0.00853,-0.00698
142,-0.07347,-0.31098,1.03538,-0.62624,0.05683,0.04658,0.02508,-0.68346,1.03337,-0.25058,-0.01941,-0.0159
143,-0.05882,-0.33681,1.04574,-0.61031,0.0455,0.03728,0.0397,-0.69689,1.01875,-0.22277,-0.03072,-0.02516
144,-0.04387,-0.3618,1.05364,-0.59284,0.03394,0.02779,0.0546,-0.70893,1.00133,-0.19366,-0.04225,-0.03461
145,-0.0289,-0.38573,1.05902,-0.57402,0.02236,0.01831,0.0695,-0.71938,0.98111,-0.16344,-0.05377,-0.04407
