Frame_Index,leg_left_ankle_roll_joint,leg_left_ankle_pitch_joint,leg_left_knee_pitch_joint,leg_left_hip_pitch_joint,leg_left_hip_yaw_joint,leg_left_hip_roll_joint,leg_right_ankle_roll_joint,leg_right_ankle_pitch_joint,leg_right_knee_pitch_joint,leg_right_hip_pitch_joint,leg_right_hip_yaw_joint,leg_right_hip_roll_joint
149,-0.08795,-0.67251,1.30985,-0.53977,0.06809,0.05572,-0.08202,-0.51416,0.99579,-0.38379,0.06336,0.05212
150,-0.09344,-0.69695,1.36299,-0.56871,0.07231,0.05923,-0.08598,-0.5159,1.00089,-0.38732,0.06642,0.05463
151,-0.09735,-0.70985,1.39188,-0.58489,0.07532,0.06174,-0.08891,-0.51669,1.0032,-0.38897,0.0687,0.05649
152,-0.09952,-0.71044,1.39479,-0.58731,0.07698,0.06314,-0.09083,-0.51633,1.0023,-0.38851,0.07018,0.05769
153,-0.10059,-0.70962,1.39483,-0.58822,0.07778,0.06384,-0.0918,-0.51613,1.00164,-0.3881,0.07095,0.0583
154,-0.10064,-0.70881,1.39496,-0.58916,0.0778,0.0639,-0.09186,-0.51625,1.00166,-0.388,0.071,0.05833
155,-0.09967,-0.70802,1.39518,-0.59012,0.07704,0.06331,-0.091,-0.5167,1.00236,-0.38822,0.07034,0.05776
156,-0.09769,-0.70728,1.39547,-0.59105,0.07549,0.06207,-0.0892,-0.51747,1.00373,-0.38873,0.06897,0.05661
157,-0.09466,-0.70658,1.39581,-0.59194,0.07313,0.06016,-0.08646,-0.51856,1.00575,-0.38955,0.06686,0.05485
158,-0.09055,-0.70573,1.39569,-0.5925,0.06994,0.05756,-0.08275,-0.51993,1.00833,-0.3906,0.064,0.05247
159,-0.08481,-0.69502,1.37432,-0.58159,0.06549,0.05392,-0.07796,-0.52043,1.00834,-0.38992,0.06032,0.04942
160,-0.07742,-0.67207,1.32658,-0.5565,0.05976,0.04924,-0.07207,-0.51982,1.00511,-0.38708,0.05577,0.04566
161,-0.06873,-0.64063,1.26045,-0.52151,0.05304,0.04373,-0.06504,-0.51866,1.00002,-0.38292,0.05035,0.04118
162,-0.06001,-0.60462,1.18441,-0.48119,0.04629,0.0382,-0.05779,-0.5172,0.99391,-0.37805,0.04475,0.03657
163,-0.05055,-0.56875,1.10837,-0.44077,0.03897,0.0322,-0.04948,-0.51623,0.98867,-0.37356,0.03834,0.03128
164,-0.04047,-0.53881,1.04468,-0.40679,0.03117,0.02581,-0.04013,-0.51621,0.98572,-0.37043,0.03111,0.02534
165,-0.0298,-0.52182,1.00822,-0.38714,0.02292,0.01904,-0.02976,-0.51751,0.98644,-0.36967,0.0231,0.01876
166,-0.01844,-0.51975,1.0032,-0.38406,0.01414,0.01183,-0.01845,-0.52006,0.99085,-0.37139,0.01435,0.01158
167,-0.0063,-0.51857,1.00005,-0.38202,0.00476,0.00414,-0.00633,-0.52256,0.99521,-0.37318,0.00499,0.0039
168,0.00636,-0.51697,0.99601,-0.37958,-0.00504,-0.00389,0.00633,-0.52481,0.99903,-0.37475,-0.00481,-0.00413
169,0.01925,-0.51496,0.99112,-0.37677,-0.01501,-0.01206,0.01924,-0.52673,1.00214,-0.37602,-0.01479,-0.01231
170,0.03198,-0.51261,0.98549,-0.37366,-0.02485,-0.02013,0.03201,-0.52826,1.00445,-0.37696,-0.02467,-0.02041
171,0.04412,-0.51001,0.97936,-0.37036,-0.03425,-0.02783,0.04421,-0.52938,1.00594,-0.37755,-0.03411,-0.02815
172,0.05523,-0.50738,0.97325,-0.36715,-0.04284,-0.03488,0.0554,-0.53074,1.00799,-0.37851,-0.04276,-0.03524
173,0.06504,-0.50602,0.97093,-0.36648,-0.05042,-0.0411,0.06565,-0.54575,1.03925,-0.39507,-0.05069,-0.04175
174,0.07361,-0.50614,0.97284,-0.36856,-0.05704,-0.04655,0.07521,-0.57437,1.09974,-0.42728,-0.05809,-0.04781
175,0.08101,-0.50735,0.97754,-0.37233,-0.06276,-0.05126,0.0841,-0.60947,1.17438,-0.46717,-0.06497,-0.05346
176,0.0873,-0.50917,0.98357,-0.37681,-0.06761,-0.05527,0.09221,-0.64506,1.25048,-0.50802,-0.07125,-0.0586
177,0.0925,-0.51107,0.9895,-0.38106,-0.07163,-0.05859,0.09933,-0.67635,1.31783,-0.54442,-0.07676,-0.06312
178,0.09663,-0.51252,0.9939,-0.3842,-0.07481,-0.06123,0.10512,-0.69929,1.36785,-0.57179,-0.08124,-0.06679
179,0.0997,-0.51296,0.99536,-0.38537,-0.07717,-0.06319,0.10919,-0.71016,1.39248,-0.58576,-0.0844,-0.06936
180,0.10173,-0.51241,0.99402,-0.38468,-0.07873,-0.06449,0.11146,-0.70991,1.39361,-0.58728,-0.08618,-0.07079
181,0.1028,-0.51214,0.99322,-0.38421,-0.07955,-0.06519,0.11266,-0.70906,1.3936,-0.58818,-0.08711,-0.07153
182,0.10293,-0.51222,0.99318,-0.38409,-0.07964,-0.06528,0.11281,-0.70823,1.39372,-0.58914,-0.08725,-0.07161
183,0.10054,-0.51325,0.99514,-0.38491,-0.07778,-0.06377,0.11019,-0.70753,1.39418,-0.59015,-0.08525,-0.06991
184,0.09875,-0.51405,0.9966,-0.38547,-0.07639,-0.06265,0.10824,-0.70681,1.39453,-0.59112,-0.08376,-0.06865
185,0.09605,-0.51518,0.99873,-0.38634,-0.07429,-0.06094,0.10527,-0.70617,1.39497,-0.59205,-0.08149,-0.06673
186,0.09238,-0.51655,1.00128,-0.38735,-0.07145,-0.05862,0.1012,-0.70483,1.39381,-0.59203,-0.07836,-0.06412
187,0.08763,-0.5169,1.00085,-0.38636,-0.06776,-0.0556,0.09534,-0.69221,1.36834,-0.57889,-0.07384,-0.06037
188,0.08172,-0.51624,0.99743,-0.38335,-0.06319,-0.05186,0.08777,-0.66792,1.31771,-0.5522,-0.06801,-0.05554
189,0.07465,-0.51515,0.99243,-0.37917,-0.05771,-0.04738,0.07888,-0.6357,1.2499,-0.51626,-0.06115,-0.04987
190,0.06638,-0.51415,0.98723,-0.37469,-0.05131,-0.04214,0.06895,-0.59956,1.17352,-0.47565,-0.05348,-0.04355
191,0.05686,-0.51375,0.98322,-0.37079,-0.04393,-0.0361,0.05815,-0.56429,1.09875,-0.43582,-0.04513,-0.03669
