Frame_Index,leg_left_ankle_roll_joint,leg_left_ankle_pitch_joint,leg_left_knee_pitch_joint,leg_left_hip_pitch_joint,leg_left_hip_yaw_joint,leg_left_hip_roll_joint,leg_right_ankle_roll_joint,leg_right_ankle_pitch_joint,leg_right_knee_pitch_joint,leg_right_hip_pitch_joint,leg_right_hip_yaw_joint,leg_right_hip_roll_joint
100,0.122,-0.51072,0.99264,-0.3861,-0.09426,-0.07757,0.13747,-0.74839,1.48719,-0.64398,-0.10635,-0.08728
101,0.12085,-0.50909,0.98803,-0.38306,-0.09337,-0.07685,0.13486,-0.73216,1.45266,-0.6255,-0.10434,-0.0856
102,0.11614,-0.50803,0.98404,-0.37985,-0.08973,-0.07384,0.12779,-0.70859,1.40237,-0.59833,-0.0989,-0.08108
103,0.11066,-0.50666,0.97894,-0.37581,-0.0855,-0.07035,0.11977,-0.67926,1.33981,-0.5646,-0.09271,-0.07594
104,0.10438,-0.50531,0.97354,-0.37143,-0.08065,-0.06635,0.11101,-0.64619,1.26929,-0.52666,-0.08596,-0.07035
105,0.09724,-0.5043,0.96867,-0.36722,-0.07512,-0.0618,0.10166,-0.61166,1.19572,-0.48712,-0.07874,-0.06438
106,0.08915,-0.50394,0.96519,-0.36372,-0.06888,-0.05666,0.09179,-0.57845,1.12498,-0.44913,-0.07112,-0.0581
107,0.08007,-0.50449,0.96389,-0.3615,-0.06185,-0.05088,0.08143,-0.54997,1.06433,-0.41651,-0.06311,-0.0515
108,0.07,-0.50616,0.96553,-0.36109,-0.05407,-0.04449,0.07061,-0.5303,1.02238,-0.39383,-0.05474,-0.04463
109,0.05898,-0.50908,0.97076,-0.36306,-0.04554,-0.0375,0.05932,-0.52373,1.00825,-0.3859,-0.04601,-0.03746
110,0.04703,-0.51252,0.97755,-0.36609,-0.0363,-0.02992,0.04729,-0.52347,1.00747,-0.38507,-0.03671,-0.02983
111,0.03428,-0.51581,0.98399,-0.36899,-0.02643,-0.02184,0.03448,-0.52283,1.0059,-0.38388,-0.02679,-0.02171
112,0.02091,-0.51885,0.98987,-0.37166,-0.01609,-0.01337,0.02106,-0.52178,1.00344,-0.3823,-0.01641,-0.01321
113,0.00713,-0.52154,0.99503,-0.37402,-0.00542,-0.00464,0.00725,-0.52027,1.00003,-0.38029,-0.00572,-0.00447
114,-0.0068,-0.52383,0.9993,-0.37601,0.00536,0.00418,-0.00668,-0.51832,0.99568,-0.37788,0.00506,0.00435
115,-0.02058,-0.52566,1.00263,-0.3776,0.01603,0.01291,-0.02044,-0.51596,0.99046,-0.37511,0.01571,0.01307
116,-0.03392,-0.52703,1.00501,-0.37878,0.02635,0.02136,-0.03373,-0.51327,0.98453,-0.37206,0.02599,0.02149
117,-0.04648,-0.52797,1.00648,-0.37957,0.03606,0.02932,-0.04623,-0.51036,0.97817,-0.36885,0.03566,0.02941
118,-0.05797,-0.53075,1.0119,-0.38251,0.04495,0.03662,-0.0576,-0.50757,0.97224,-0.36599,0.04446,0.03663
119,-0.06864,-0.54621,1.04437,-0.39985,0.0532,0.04339,-0.06778,-0.50596,0.96978,-0.36546,0.05232,0.04309
120,-0.07868,-0.57212,1.09916,-0.42908,0.06096,0.04978,-0.07685,-0.50551,0.97057,-0.36703,0.05934,0.04885
121,-0.08819,-0.60422,1.16724,-0.46545,0.0683,0.05583,-0.08492,-0.50602,0.97384,-0.37011,0.06558,0.05398
122,-0.09718,-0.63881,1.24079,-0.50483,0.07524,0.06157,-0.09205,-0.50724,0.97878,-0.37413,0.07109,0.05851
